,Name,Parent,sequence,sign,type,style_overwrite
24504015,IR on MTB Krishijat (TL) Unsecured,Interest Receivable on SME Term Loan excl Agri & MF,14,Preserve balance sign,Accounts,
24504016,IR on MTB Light Engineering (TL) Unsecured,Interest Receivable on SME Term Loan excl Agri & MF,15,Preserve balance sign,Accounts,
24505,Interest Receivable on Agri Term Loan <SME>,Interest Receivable,4,Preserve balance sign,View,
24505001,Interest Receivable on Microfinance <Agri-TL>,Interest Receivable on Agri Term Loan <SME>,0,Preserve balance sign,Accounts,
24505002,Interest Receivable on MTB Krishi (TL),Interest Receivable on Agri Term Loan <SME>,0,Preserve balance sign,View,
24506,Interest Receivable on Corporate & SME Demand Loan,Interest Receivable,5,Preserve balance sign,View,
24506001,Interest Receivable on Demand Loan General,Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,Accounts,
24506002,Interest Receivable on Demand Loan Forced,Interest Receivable on Corporate & SME Demand Loan,1,Preserve balance sign,Accounts,
24506003,Interest Receivable on Demand Loan Short Term,Interest Receivable on Corporate & SME Demand Loan,2,Preserve balance sign,Accounts,
24506004,Interest Receivable on Demand Loan Time,Interest Receivable on Corporate & SME Demand Loan,3,Preserve balance sign,Accounts,
24506005,Interest Receivable on Payment Aganist Document,Interest Receivable on Corporate & SME Demand Loan,4,Preserve balance sign,Accounts,
24506006,Interest Receivable on Payment Against Document (B-to-B),Interest Receivable on Corporate & SME Demand Loan,5,Preserve balance sign,Accounts,
24506007,Interest Receivable on Inland Doc. Bill Purchased <Sight>,Interest Receivable on Corporate & SME Demand Loan,6,Preserve balance sign,Accounts,
24506008,Interest Receivable on Inland Doc. Bill Discounted <Usance>,Interest Receivable on Corporate & SME Demand Loan,7,Preserve balance sign,Accounts,
24506010,Interest Receivable on Foreign D.B Purchased <Sight>,Interest Receivable on Corporate & SME Demand Loan,8,Preserve balance sign,Accounts,
24506011,Interest Receivable on Foreign D.B Discounted <Usance>,Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,View,
24506013,Interest Receivable on Loan Against Trust Receipt,Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,View,
24506014,Interest Receivable on Cash Aganist Document DL,Interest Receivable on Corporate & SME Demand Loan,11,Preserve balance sign,Accounts,
24506015,Interest Receivable on Demand Loan Garments,Interest Receivable on Corporate & SME Demand Loan,12,Preserve balance sign,Accounts,
24506016,Interest Receivable on Packing Credit,Interest Receivable on Corporate & SME Demand Loan,13,Preserve balance sign,Accounts,
24506017,Interest Receivable on Advance Against Cash Incentive,Interest Receivable on Corporate & SME Demand Loan,0,Preserve balance sign,View,
24506018,Interest Receivable Secured Overdraft Genl Business DL,Interest Receivable on Corporate & SME Demand Loan,15,Preserve balance sign,Accounts,
24507,Interest Receivable on Corporate & SME Demand Loan FC,Interest Receivable,6,Preserve balance sign,View,
24507001,Interest Receivable on EDF Loan <USD>,Interest Receivable on Corporate & SME Demand Loan FC,0,Preserve balance sign,Accounts,
24507002,Interest Receivable on PAD EDF Loan <USD> DL,Interest Receivable on Corporate & SME Demand Loan FC,1,Preserve balance sign,Accounts,
24508,Interest Receivable on SME Demand Loan,Interest Receivable,7,Preserve balance sign,View,
24508001,Interest Receivable on Demand Loans against Rural Credit,Interest Receivable on SME Demand Loan,0,Preserve balance sign,Accounts,
24508002,Interest Receivable on MTB Supply Chain Finance <SME> DL,Interest Receivable on SME Demand Loan,1,Preserve balance sign,Accounts,
24508003,Interest Receivable on MTB Mousumi,Interest Receivable on SME Demand Loan,0,Preserve balance sign,View,
24509,Interest Receivable on Retail Continuous Loans,Interest Receivable,8,Preserve balance sign,View,
24509001,Interest Receivable on Secured Overdraft against Bank's own TD,Interest Receivable on Retail Continuous Loans,0,Preserve balance sign,Accounts,
24509002,Interest Receivable on Secured Overdraft against other Bank's TD,Interest Receivable on Retail Continuous Loans,1,Preserve balance sign,Accounts,
24509003,Interest Receivable on Secured Overdraft against Shares etc.,Interest Receivable on Retail Continuous Loans,2,Preserve balance sign,Accounts,
24509004,Interest Receivable on MTB EDU Finance - Over Draft (Revolving),Interest Receivable on Retail Continuous Loans,3,Preserve balance sign,Accounts,
24509005,Interest Receivable on MTB Cash Line <ROD>,Interest Receivable on Retail Continuous Loans,4,Preserve balance sign,Accounts,
24510,Interest Receivable on Corporate & SME Continuous Loan,Interest Receivable,9,Preserve balance sign,View,
24510001,Interest Receivable on Corp Cash Credit Hypo,Interest Receivable on Corporate & SME Continuous Loan,0,Preserve balance sign,Accounts,
24510002,Interest Receivable on SOD (Shares & Debentures) C&S,Interest Receivable on Corporate & SME Continuous Loan,1,Preserve balance sign,Accounts,
24510003,Interest Receivable on SOD (FO) WBD C&S,Interest Receivable on Corporate & SME Continuous Loan,2,Preserve balance sign,Accounts,
