id,name,product_variant_ids/id,id,line_ids/product_qty,type,uom_po_id/id,uom_id/id,line_ids/product_qty
__export__.product_product_24978,Mua Luxe Velvet lip lacquer,__export__.product_product_24978,__export__.product_product_24978,400,product,product.product_uom_unit,product.product_uom_unit,400
__export__.product_product_24979,Mua Luxe whipped velvet lip lacquer,__export__.product_product_24979,__export__.product_product_24979,650,product,product.product_uom_unit,product.product_uom_unit,650
__export__.product_product_24980,Mua Mascara,__export__.product_product_24980,__export__.product_product_24980,650,product,product.product_uom_unit,product.product_uom_unit,650
__export__.product_product_24981,Mua Matte Lipstick,__export__.product_product_24981,__export__.product_product_24981,450,product,product.product_uom_unit,product.product_uom_unit,450
__export__.product_product_24982,Mua Pro-Base complexion Kit (Foundation),__export__.product_product_24982,__export__.product_product_24982,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24983,Mua Winter forest eyeshadow palette,__export__.product_product_24983,__export__.product_product_24983,1000,product,product.product_uom_unit,product.product_uom_unit,1000
__export__.product_product_24984,Innisfree the green tea seed eye cream,__export__.product_product_24984,__export__.product_product_24984,750,product,product.product_uom_unit,product.product_uom_unit,750
__export__.product_product_24985,Innisfree the green tea seed serum,__export__.product_product_24985,__export__.product_product_24985,1850,product,product.product_uom_unit,product.product_uom_unit,1850
__export__.product_product_24986,KLEAN Color Madly Matte,__export__.product_product_24986,__export__.product_product_24986,1850,product,product.product_uom_unit,product.product_uom_unit,1850
__export__.product_product_24987,LA GIRL Matte Liquid Lipstick,__export__.product_product_24987,__export__.product_product_24987,520,product,product.product_uom_unit,product.product_uom_unit,520
__export__.product_product_24988,innisfree olive real cleansing foam,__export__.product_product_24988,__export__.product_product_24988,520,product,product.product_uom_unit,product.product_uom_unit,520
__export__.product_product_24989,innisfree olive real skin,__export__.product_product_24989,__export__.product_product_24989,1150,product,product.product_uom_unit,product.product_uom_unit,1150
__export__.product_product_24990,innisfree orchid eye cream,__export__.product_product_24990,__export__.product_product_24990,1950,product,product.product_uom_unit,product.product_uom_unit,1950
__export__.product_product_24991,innisfree perfect 9 repair lotion,__export__.product_product_24991,__export__.product_product_24991,2550,product,product.product_uom_unit,product.product_uom_unit,2550
__export__.product_product_24992,innisfree perfect 9 repair skin,__export__.product_product_24992,__export__.product_product_24992,3250,product,product.product_uom_unit,product.product_uom_unit,3250
__export__.product_product_24993,innisfree skinny microcara,__export__.product_product_24993,__export__.product_product_24993,2950,product,product.product_uom_unit,product.product_uom_unit,2950
__export__.product_product_24994,Innisfree super volcanic pore clay mask,__export__.product_product_24994,__export__.product_product_24994,950,product,product.product_uom_unit,product.product_uom_unit,950
__export__.product_product_24995,Innisfree super volcanic pore clay mask,__export__.product_product_24995,__export__.product_product_24995,950,product,product.product_uom_unit,product.product_uom_unit,950
__export__.product_product_24996,Innisfree the green tea seed cream,__export__.product_product_24996,__export__.product_product_24996,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24997,Innisfree the green tea seed eye cream,__export__.product_product_24997,__export__.product_product_24997,750,product,product.product_uom_unit,product.product_uom_unit,750
__export__.product_product_24998,LA GIRL Pro Face Powder,__export__.product_product_24998,__export__.product_product_24998,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24999,Laneige multiberry yogurt pack,__export__.product_product_24999,__export__.product_product_24999,800,product,product.product_uom_unit,product.product_uom_unit,800
__export__.product_product_25000,Laneige water sleeping mask,__export__.product_product_25000,__export__.product_product_25000,2500,product,product.product_uom_unit,product.product_uom_unit,2500
__export__.product_product_25001,100 piece marbel eyeshadow palette,__export__.product_product_25001,__export__.product_product_25001,2700,product,product.product_uom_unit,product.product_uom_unit,2700
__export__.product_product_25002,Eyelash Curler,__export__.product_product_25002,__export__.product_product_25002,3000,product,product.product_uom_unit,product.product_uom_unit,3000
__export__.product_product_25003,Eyelash Curler,__export__.product_product_25003,__export__.product_product_25003,3000,product,product.product_uom_unit,product.product_uom_unit,3000
__export__.product_product_25004,Ezzy Breezy (Skin Elixir),__export__.product_product_25004,__export__.product_product_25004,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_25005,innisfree bija trouble facial foam blemish,__export__.product_product_25005,__export__.product_product_25005,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_25006,Innisfree green tea balancing cream,__export__.product_product_25006,__export__.product_product_25006,900,product,product.product_uom_unit,product.product_uom_unit,900
__export__.product_product_25007,Innisfree green tea balancing skin,__export__.product_product_25007,__export__.product_product_25007,1350,product,product.product_uom_unit,product.product_uom_unit,1350
__export__.product_product_25008,Innisfree green tea cleansing foam,__export__.product_product_25008,__export__.product_product_25008,1550,product,product.product_uom_unit,product.product_uom_unit,1550
__export__.product_product_25009,Innisfree green tea cleansing water,__export__.product_product_25009,__export__.product_product_25009,900,product,product.product_uom_unit,product.product_uom_unit,900
__export__.product_product_25010,innisfree it's real squeeze mask acai berry,__export__.product_product_25010,__export__.product_product_25010,1550,product,product.product_uom_unit,product.product_uom_unit,1550
__export__.product_product_25011,innisfree it's real squeeze mask bija,__export__.product_product_25011,__export__.product_product_25011,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25012,innisfree it's real squeeze mask cucumber,__export__.product_product_25012,__export__.product_product_25012,175,product,product.product_uom_unit,product.product_uom_unit,175
__export__.product_product_25013,innisfree it's real squeeze mask green tea,__export__.product_product_25013,__export__.product_product_25013,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25014,innisfree it's real squeeze mask lime,__export__.product_product_25014,__export__.product_product_25014,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25015,innisfree it's real squeeze mask manuka honey,__export__.product_product_25015,__export__.product_product_25015,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25016,innisfree it's real squeeze mask pomegranate,__export__.product_product_25016,__export__.product_product_25016,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25017,innisfree it's real squeeze mask rice single pack,__export__.product_product_25017,__export__.product_product_25017,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25018,innisfree it's real squeeze mask rose,__export__.product_product_25018,__export__.product_product_25018,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25019,innisfree it's real squeeze mask strawberry,__export__.product_product_25019,__export__.product_product_25019,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25020,Innisfree it's real squeeze mask Tea Tree,__export__.product_product_25020,__export__.product_product_25020,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25021,Innisfree jeju lava seawater ampoule skin,__export__.product_product_25021,__export__.product_product_25021,120,product,product.product_uom_unit,product.product_uom_unit,120
__export__.product_product_25022,Innisfree jeju lava seawater deep cream,__export__.product_product_25022,__export__.product_product_25022,2650,product,product.product_uom_unit,product.product_uom_unit,2650
__export__.product_product_25023,Innisfree jeju lava seawater deep essence,__export__.product_product_25023,__export__.product_product_25023,2450,product,product.product_uom_unit,product.product_uom_unit,2450
__export__.product_product_25024,Innisfree jeju lava seawater eye serum,__export__.product_product_25024,__export__.product_product_25024,2450,product,product.product_uom_unit,product.product_uom_unit,2450
__export__.product_product_25025,Innisfree jeju lava seawater intensive ampoule,__export__.product_product_25025,__export__.product_product_25025,2950,product,product.product_uom_unit,product.product_uom_unit,2950
__export__.product_product_25026,Innisfree jeju lava seawater lotion,__export__.product_product_25026,__export__.product_product_25026,2950,product,product.product_uom_unit,product.product_uom_unit,2950
__export__.product_product_25027,Innisfree jeju sparkling mineral essence,__export__.product_product_25027,__export__.product_product_25027,2650,product,product.product_uom_unit,product.product_uom_unit,2650
__export__.product_product_25028,innisfree jeju volcanic blackhead 3 step program,__export__.product_product_25028,__export__.product_product_25028,2550,product,product.product_uom_unit,product.product_uom_unit,2550
__export__.product_product_25029,Innisfree jeju volcanic pore clay mask,__export__.product_product_25029,__export__.product_product_25029,550,product,product.product_uom_unit,product.product_uom_unit,550
__export__.product_product_25030,Innisfree jeju volcanic pore cleansing foam,__export__.product_product_25030,__export__.product_product_25030,1200,product,product.product_uom_unit,product.product_uom_unit,1200
__export__.product_product_25031,Innisfree jeju volcanic pore toner,__export__.product_product_25031,__export__.product_product_25031,900,product,product.product_uom_unit,product.product_uom_unit,900
__export__.product_product_25032,Swept Away (Face Wash),__export__.product_product_25032,__export__.product_product_25032,0,product,product.product_uom_unit,product.product_uom_unit,0
