Layer,Code,Name,Parent Account,,Type,active,pending,state
Layer 5,13203902,FESTIVAL SANCHAY PROKALPA,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203903,UNIQUE SAVING PLAN,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203904,EID UL FITRE SANCHAY PROKALPA,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203905,EID UL AZHA SANCHAY PROKALPA,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203906,DURGA PUJA SANCHAY PROKALPA,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203907,CHRISTMAS SANCHAY PROKALPA,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203908,BUDDHA PURNIMA SANCHAY PROKALPA,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13204001,FC NON-RESIDENT FOREIGN CURRENCY DEPOSIT ACCOUNT(NFCD)_USD,13204,Term Deposits FC,Liabilities: Customer Accounts,True,False,approve
Layer 5,13204002,FC FD from Individual OBU USD,13204,Term Deposits FC,Liabilities: Customer Accounts,True,False,approve
Layer 5,13204003,FC FD from Institutions OBU USD,13204,Term Deposits FC,Liabilities: Customer Accounts,True,False,approve
Layer 5,13205001,Special Notice Deposit,13205,Special Notice Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206001,MTB Ankur,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206002,MTB Ruby,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206003,MTB Graduate,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206004,MTB Junior,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206005,MTB Privilege Saving,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206006,NRB Savings Account,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206007,MTB Senior,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206008,MTB Inspire,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206009,MTB Shanchay,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206010,MTB Care,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206011,Regular Savings Deposit,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206012,MTB Regular Savings Staff,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206013,MTB Payroll Premium,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206014,MTB Payroll eSavers,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206015,MTB Payroll Saver,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206016,MTB Children Education Deposit Scheme,13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206901,MTB Inspire (DST),13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206902,MTB Senior (DST),13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206903,MTB Ruby (DST),13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206904,Savings Deposit (DST),13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206905,MTB Graduate (DST),13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13206906,MTB JUNIOR (DST),13206,Savings Bank Account,Liabilities: Customer Accounts,True,False,approve
Layer 5,13207001,SB Resident Foreign Currency Deposit (RFCD)_USD,13207,Savings Bank Account <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13207011,FC PRIVATE FOREIGN CURRENCY ACCOUNT (PFC) INCLUDING DFC & RBN_USD,13207,Savings Bank Account <FC>,Liabilities: Customer Accounts,True,False,approve
Layer 5,13208001,MTB Gift Cheque,13208,Other Deposit product,Liabilities: Office Accounts,True,False,approve
Layer 5,13301001,Current Deposits from other Bank,13301,Current Deposits from other Bank,Liabilities: Customer Accounts,True,False,approve
Layer 5,13302001,Current Deposits from NBFI,13302,Current Deposits from NBFI,Liabilities: Customer Accounts,True,False,approve
Layer 5,13401001,Bank Deposits -FD <BDT>,13401,Bank Deposits -FD,Liabilities: Customer Accounts,True,False,approve
Layer 5,13401002,Bank Deposits -SND,13401,Bank Deposits -FD,Liabilities: Customer Accounts,True,False,approve
Layer 5,13402001,NBFI Deposits -FD,13402,NBFI Deposits -FD,Liabilities: Customer Accounts,True,False,approve
Layer 5,13501001,Interest Payable MTB Probaho,13501,Interest Payable on Current Deposits,Interest Payable Accounts,True,False,approve
Layer 5,13601001,Interest Payable on MTB Buniad,13601,Interest Payable on TD Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13601002,Interest Payable on NRB Fixed Deposit,13601,Interest Payable on TD Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13601003,Interest Payable on Term Deposit General,13601,Interest Payable on TD Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13601004,Interest Payable on Term Deposit Monthly Benefit Plan,13601,Interest Payable on TD Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13601901,Interest Payable on Best Investment TERM DEPOSIT,13601,Interest Payable on TD Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13601902,IP on MTB Quarterly Benefit Plan,13601,Interest Payable on TD Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602001,IP MTB Ankur,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602002,IP MTB Ruby,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602003,IP MTB Graduate,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602004,IP MTB Junior,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602005,IP MTB Privilege Saving,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602006,Interest Payable on NRB Savings Account,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602007,IP MTB Senior,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602008,IP on MTB Inspire,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602009,IP on MTB Shanchay,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602010,IP on MTB Care,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602011,IP on Regular Savings Deposit,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602012,Interest Payable on MTB REGULAR SAVINGS STAFF,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602013,Interest Payable on MTB Payroll Premium,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602014,Interest Payable on MTB Payroll eSavers,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602015,Interest Payable on MTB Payroll Saver,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602016,Interest Payable on MTB Children Education Deposit Scheme,13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602901,Interest Payable on MTB Inspire (DST),13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602903,Interest Payable on MTB Ruby (DST),13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602904,Interest Payable on Savings Deposit (DST),13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602905,Interest Payable on MTB Graduate (DST),13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13602906,Interest Payable on MTB JUNIOR (DST),13602,Interest Payable on Savings Bank Accounts,Interest Payable Accounts,True,False,approve
Layer 5,13603001,Interest payable on RD Brick-by-Brick,13603,Interest payable on Recurring Deposit,Interest Payable Accounts,True,False,approve
Layer 5,13603002,Interest payable on RD MTB Educational Plan,13603,Interest payable on Recurring Deposit,Interest Payable Accounts,True,False,approve
Layer 5,13603003,Interest payable on RD Kotipati,13603,Interest payable on Recurring Deposit,Interest Payable Accounts,True,False,approve
Layer 5,13603004,Interest payable on RD Millionnaire Plan,13603,Interest payable on Recurring Deposit,Interest Payable Accounts,True,False,approve
Layer 5,13603005,Interest payable on RD NRB,13603,Interest payable on Recurring Deposit,Interest Payable Accounts,True,False,approve
Layer 5,13603901,SAVE EVERY DAY DEPOSIT A/C,13603,Interest payable on Recurring Deposit,Interest Payable Accounts,True,False,approve
